"selection_code";"description"
"OBY06T01";"Migration - selected summary data. Time granularity: Year. Territory types: State, Region"
"RES02QOBCEt1";"Businesses by principal activity - quarterly data for municipalities by region. Time granularity: Quarter. Territory types: Region, Municipality"
"VOLPRT1";"Basic information on election of the President of the Czech Republic. Time granularity: Year. Territory types: State, Region"
"VOLPRT2";"Basic Information on election of the President of the Czech Republic by Region. Time granularity: Year. Territory types: State, Region"
"OBY03DHVDT01";"Fertility rates by age of women. Time granularity: Year. Territory types: State, NUTS2, Region"
"VOLPST1";"Basic information on elections to the Chamber of Deputies of the Parliament . Time granularity: Year. Territory types: State, Region"
"VOLPST2";"Basic information on elections to the Chamber of Deputies of the Parliament by region. Time granularity: Year. Territory types: State, Region"
"WSBDZO1T9";"Cross-border movements of good - Year. Time granularity: Year. Territory types: State"
"CEN0204AT01";"Price index of market services - yearly. Time granularity: Year. Territory types: State"
"CEN0204AT02";"Price index of market services - quarterly. Time granularity: Quarter. Territory types: State"
"CEN0204AT03";"Price index of market services - monthly. Time granularity: Month. Territory types: State"
"CEN0204AT04A";"Price index of market services - monthly cumulation from the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"OBC02BT1";"Sales indices (excl. VAT) in Wholesale trade and Trade total - seasonally and calendar adjusted - month. Time granularity: Month. Territory types: State"
"OBC02BT2";"Sales indices (excl. VAT) in Wholesale trade and Trade total - seasonally and calendar adjusted - quarter. Time granularity: Quarter. Territory types: State"
"OBC02BT3";"Sales indices (excl. VAT) in Wholesale trade and Trade total - seasonally and calendar adjusted - year. Time granularity: Year. Territory types: State"
"OBY01AT01";"Main data on population and vital statistics - absolute figures. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01AT02";"Main data on population and vital statistics - relative figures. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01BT01";"Main data on population and vital statistics - absolute figures. Time granularity: Year. Territory types: State, Region"
"OBY01BT02";"Main data on population and vital statistics - relative figures. Time granularity: Year. Territory types: State, Region"
"VOLOBT1";"Basic information about elections to municipal councils. Time granularity: Year. Territory types: State, Region"
"VOLOBT2";"Basic data on elections to municipal councils by region. Time granularity: Year. Territory types: State, Region"
"WOBCT1";"Sales indices - Year-On-Year Increase /Decrease (%). Time granularity: Month. Territory types: State"
"FIN03POJZAM";"Employees and wages of insurance companies (in persons and CZK mil.). Time granularity: Year. Territory types: State"
"FIN03CNBTRP";"Technical provisions of insurance companies in gross value (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03CNBTUN";"Technical account of insurance companies - Non-life insurance business (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03CNBTUZ";"Technical account of insurance companies - Life insurance business (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03CNBNTU";"Non-technical account of insurance companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03POJAKT";"Assets of insurance companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03POJFA";"Financial assets  in insurance companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03POJPAS";"Liabilities of insurance companies (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03POJVUK";"Selected indicators on direct non life insurance business (CZK mil., number of persons and contracts). Time granularity: Year. Territory types: State"
"FIN03POJDUK";"Complementary indicators of insurance companies (CZK mil.) 	. Time granularity: Year. Territory types: State"
"WNUC05AT01";"Government finance statistics (CZK million) - TOP indicators. Time granularity: Quarter. Territory types: State"
"OBY01PDT01";"Population. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT02";"Population change - absolute figures. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT03";"Population change - relative figures per 1,000 population. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT04";"Population increase. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT05";"Births. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT06";"Deaths. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT07";"Marriages. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT08";"Divorces. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT09";"Migration. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY01PDT10";" International migration by citizenship. Time granularity: Cumulative Quarter. Territory types: State, Region"
"FIN03PODZAM";"Employees and wages of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs (in persons and CZK mil.) 	. Time granularity: Year. Territory types: State"
"FIN03PODAKT";"Assets of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PODFA";"Financial assets of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PODPAS";"Liabilities of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs ( CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PODNAK";"Selected expenses of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs ( CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PODVYN";"Selected revenues of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PODDHM";"Tangible fixed assets including land and mineral deposits of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs (CZK mil.). Time granularity: Year. Territory types: State"
"FIN03PODDNM";"Intangible fixed assets of non-banking monetary institutions which keep books in accordance with the chart of accounts for entrepreneurs (CZK mil.). Time granularity: Year. Territory types: State"
"RES04QOBCET1";"Businesses by group of institutional sectors - quarterly data for municipalities by region. Time granularity: Quarter. Territory types: Region, Municipality"
"SLD002T02a";"Population by age group, sex and region. Time granularity: Census Year. Territory types: State, Region"
"SLD002T02b";"Average age by sex and region. Time granularity: Census Year. Territory types: State, Region"
"WNUC05CT01";"Selected indicators of government finance statistics (CZK million) - quarterly data. Time granularity: Quarter. Territory types: State"
"RSO02A01ORPT1";"Size group of municipalities (AD MEP). Time granularity: Year. Territory types: AD MEP"
"OBC02AT1";"Sales indices (excl. VAT) in Wholesale trade and Trade total - calendar effects adjusted - month. Time granularity: Month. Territory types: State"
"OBC02AT2";"Sales indices (excl. VAT) in Wholesale trade and Trade total - calendar effects adjusted - quarter. Time granularity: Quarter. Territory types: State"
"OBC02AT3";"Sales indices (excl. VAT) in Wholesale trade and Trade total - calendar effects adjusted - year. Time granularity: Year. Territory types: State"
"WNUC05DT01";"Selected indicators of government finance statistics (CZK million) - annual data. Time granularity: Year. Territory types: State"
"OBY02BT01";"Population by sex and age as at 31. 12.. Time granularity: Year. Territory types: Region, State"
"CEN0202AT01";"Price indices of constructions by CC classification - quarterly. Time granularity: Quarter. Territory types: State"
"OBY01CQT01";"Population and population change since 1992 - quarterly absolute figures. Time granularity: Quarter. Territory types: State"
"OBY01CQT02";"Population and population change since 1992 - quarterly relative figures. Time granularity: Quarter. Territory types: State"
"OBY01CMT01";"Population and population change since 1992 - monthly absolute figures. Time granularity: Month. Territory types: State"
"OBY01CMT02";"Population and population change since 1992 - monthly relative figures. Time granularity: Month. Territory types: State"
"OBY02AT01";"Total population as at 1. 1., 1. 7. and 31. 12. by sex. Time granularity: Year. Territory types: State, Region"
"OBY02FT01";"Age structure indicators as at 31. 12.. Time granularity: Year. Territory types: Region, State"
"SZB04";"Average monthly old-age pension (solo) - Full (CZK). Time granularity: Year. Territory types: State, Region"
"WFIN02";"Health Insurance Companies - selected indicators. Time granularity: Quarter. Territory types: State"
"OBY02GT03";"Population by sex, broad age group and marital status as at 31. 12.. Time granularity: Year. Territory types: State"
"OBY02GT02";"Population by sex, five-year age group and marital status as at 31. 12.. Time granularity: Year. Territory types: State"
"OBY02GT01";"Population by sex, age and marital status as at 31. 12.. Time granularity: Year. Territory types: State"
"SZB03";"Expenditure on sickness insurance benefits paid (CZK thousand). Time granularity: Year. Territory types: State, Region"
"SZB03K";"Expenditure on sickness insurance benefits paid in regions (CZK thousand). Time granularity: Year. Territory types: State, Region"
"WFIN03T1";"Selected indicators of financial institutions . Time granularity: Year. Territory types: State"
"OBY02DT01";"Population by sex and five-year age group as at 31. 12.. Time granularity: Year. Territory types: State, Region"
"SZB02";"State social support benefits and foster care benefits paid. Time granularity: Year. Territory types: State, Region, District"
"SZB02B";"State social support benefits and foster care benefits paid (CZK - Territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"OBY02ET01";"Population by sex and broad age group as at 31. 12.. Time granularity: Year. Territory types: State, Region"
"SZB01";"Average monthly amount of pension (as at 31 December of the relevant year). Time granularity: Year. Territory types: State, Region, District"
"SZB01B";"Average monthly amount of pension (as at 31 December of the relevant year)1 - Territorial comparison. Time granularity: Year. Territory types: Region, State, District"
"WFIN01AT1";"Revenue and expenditure of territorial budgets (thousand CZK). Time granularity: Year. Territory types: State, Region"
"WFIN01AT2";"Revenue and expenditure of territorial budgets by region (thousand CZK). Time granularity: Year. Territory types: State, Region"
"WCEN01MT01";"Consumer Price Index (indices, inflation rate). Time granularity: Month. Territory types: State"
"WCEN01MT03";"Inflation - Types. Time granularity: Month. Territory types: State"
"UNP3AT1";"Annual labour costs by CZ-NACE section. Time granularity: Year. Territory types: State"
"UNP3AT2";"Annual labour costs by Region. Time granularity: Year. Territory types: State, Region"
"UNP3At3";"Annual labour costs by size of reporting unit. Time granularity: Year. Territory types: State"
"OBY01PDOBT1";"Population and population change in municipalities - preliminary data. Time granularity: Cumulative Quarter. Territory types: Municipality"
"ZEM03AT01";"Harvests of crops. Time granularity: Year. Territory types: State, Region"
"ZEM03AT02";"Trends in areas, per hectare yields and harvests of crops. Time granularity: Year. Territory types: State, Region"
"ZEM03CT01";"Sown areas under Crops. Time granularity: Year. Territory types: State, Region"
"CRU02KQT1";"Occupancy in collective accommodation establishments - time series. Time granularity: Cumulative Quarter. Territory types: State, Region"
"CRU02KQT2";"Occupancy in collective accommodation establishments - territorial comparison. Time granularity: Cumulative Quarter. Territory types: State, Region"
"OBY03CT01";"Live births by sex. Time granularity: Year. Territory types: State, Region"
"OBY03DT02";"Fertility rates by five-year age group of women . Time granularity: Year. Territory types: State, Region"
"OBY03DT01";"Fertility rates by age of women. Time granularity: Year. Territory types: State, Region"
"OBY03AT01";"Live births by five-year age group of mothers and fathers. Time granularity: Year. Territory types: State"
"OBY03BT02";"Live births by five-year age group of mothers . Time granularity: Year. Territory types: State, Region"
"OBY03BT01";"Live births by birth order,  mother's age and marital status. Time granularity: Year. Territory types: State"
"WZPR05T01";"Environmental protection expenditure. Time granularity: Year. Territory types: State, Region"
"WZPR05T01K";"Environmental protection expenditure by region of investor´s head office. Time granularity: Year. Territory types: State, Region"
"WZPR04T01";"Public water supply and sewerage systems . Time granularity: Year. Territory types: State, Region"
"WZPR04T01K";"Vodovody a kanalizace pro veřejnou potřebu podle krajů. Time granularity: Year. Territory types: State, Region"
"WZPR04G01";"Drinking water invoiced in the ČR (thous. m3). Time granularity: Year. Territory types: State, Region"
"WZPR03T01";"Waste generation and waste treatment. Time granularity: Year. Territory types: State, Region"
"WZPR03T01G01";"Produkce odpadů v ČR (kg na obyvatele). Time granularity: Year. Territory types: State, Region"
"WZPR03T01G02";"Nakládání s odpady v ČR (t). Time granularity: Year. Territory types: State, Region"
"WZPR02T01";"Emissions of main air pollutants. Time granularity: Year. Territory types: State, Region"
"WZPR02T01K";"Emissions of main air pollutants by regions. Time granularity: Year. Territory types: State, Region"
"WZPR01T01";"Number and area of specially protected areas  (as of 31. 12.). Time granularity: Year. Territory types: State, Region"
"WZPR01T01K";"Number and surface of protected areas by regions. Time granularity: Year. Territory types: State, Region"
"WZPR01G";"Small-area specially protected areas in the CR. Time granularity: Year. Territory types: State, Region"
"WZPR01KG";"Počet maloplošných zvláště chráněných území . Time granularity: Year. Territory types: State, Region"
"WSBDZOAT3";"International trade in goods (change of ownership) - Year. Time granularity: Year. Territory types: State"
"WSBDZOBT1";"International trade in goods (change of ownership) - Month. Time granularity: Month. Territory types: State"
"WSBDZOBT10";"International trade in goods (change of ownership) - Year-On-Year Increase /Decrease (%). Time granularity: Month. Territory types: State"
"WSBDZOBT4";"International trade in goods (change of ownership) by commodities - exports by SITC (CZK million, FOB). Time granularity: Month. Territory types: State"
"WSBDZOBT5";"International trade in goods (change of ownership) by commodities - imports by SITC (CZK million, CIF). Time granularity: Month. Territory types: State"
"WSBDZOBT6";"Balance of goods (change of ownership) (CZK mil.). Time granularity: Month. Territory types: State"
"WCEN01T01";"Consumer Price Index (indices, inflation rate). Time granularity: Month. Territory types: State"
"WCEN01T02";"Average annual inflation rate. Time granularity: Year. Territory types: State"
"WCEN01T03";"Inflation - Types. Time granularity: Month. Territory types: State"
"WCEN02T01";"Producer prices. Time granularity: Year. Territory types: State"
"WCEN02T02";"Year Increase /Decrease (%). Time granularity: Month. Territory types: State"
"WCEN02T03";"Producer prices - year-on-year index. Time granularity: Year. Territory types: State"
"WSBDZOCT2";"International trade in goods (change of ownership) - Quarter. Time granularity: Quarter. Territory types: State"
"RSO001OBCE";"Number of municipalities (towns, statutory cities, market towns). Time granularity: Year. Territory types: State, Region"
"WCEN04T01";"Average purchase prises o real estate and price indices od real estate. Time granularity: Year. Territory types: State, Region"
"WCEN04T02";" Price indices of real estate - year-on-year index. Time granularity: Year. Territory types: State, Region"
"WRES0BT1";"Businesses - quarterly. Time granularity: Quarter. Territory types: State, Region"
"WRES0A";"Registrations of businesses. Time granularity: Quarter. Territory types: State"
"ZAMG07T1";"The employed in the national economy by length of working hours . Time granularity: Year. Territory types: State"
"ZAMG07T2";"The employed in the national economy by length of working hours. Time granularity: Year. Territory types: State"
"ZAMG08T1";"Average monthly gross wage and median of wages. Time granularity: Year. Territory types: State"
"ZAMG08T2";"Average monthly gross wage and median of wages by CZ-ISCO-08 major group. Time granularity: Year. Territory types: State"
"ZAMG08T3";"Average monthly gross wage and median of wages by educational attainment . Time granularity: Year. Territory types: State"
"CRU05bT1";"Vybrané ukazatele. Time granularity: Year. Territory types: State"
"ZAMG03T1";"Self-employed persons in the national economy by age group . Time granularity: Year. Territory types: State"
"CRU06AT1";"Number of trips, overnight stays, and expenditures by type of trip, destination and gender. Time granularity: Year. Territory types: State"
"CRU06AT2";"Number of trips, overnight stays, and expenditures by type of trip, destination and age. Time granularity: Year. Territory types: State"
"CRU06AT3";"Number of trips, overnight stays, and expenditures by type of trip, destination and method of transport. Time granularity: Year. Territory types: State"
"CRU06AT4";"Number of trips, overnight stays, and expenditures by type of trip and local destination (region). Time granularity: Year. Territory types: State"
"CRU06AT5";"Number of trips, overnight stays, and expenditures by type of trip and foreign destination. Time granularity: Year. Territory types: State"
"CRU06AT6";"Number of trips, overnight stays, and expenditures by type of trip, destination and category of accommodation. Time granularity: Year. Territory types: State"
"CRU06AT7";"Number of trips, overnight stays, and expenditures by type of trip, destination and method of organisation of the travel. Time granularity: Year. Territory types: State"
"CRU06AT8";"Number of trips, overnight stays, and expenditures by type of trip, method of transport and sex. Time granularity: Year. Territory types: State"
"CRU06AT9";"Number of trips, overnight stays, and expenditures by type of trip, category of accommodation and sex. Time granularity: Year. Territory types: State"
"RES01ROBCE";"Businesses by selected legal forms - yearly data for municipalities by region. Time granularity: Year. Territory types: Region, Municipality"
"ZAMG01T1";"Participation rate and economically active population. Time granularity: Year. Territory types: State"
"WESU01A";"Počet ekonomických subjektů celkem (stav k 31. 12.). Time granularity: Year. Territory types: State, Region"
"WESU01AKR";"Businesses total by selected legal forms by Region. Time granularity: Year. Territory types: State, Region"
"WESU01B";"Birth and death of businesses. Time granularity: Year. Territory types: State, Region"
"WESU01BKR";"Birth and death of businesses by Region. Time granularity: Year. Territory types: State, Region"
"WRES00G";"Number of businesses in the CZ (as at 31 December). Time granularity: Year. Territory types: State, Region"
"CRU01T1";"Capacity of accommodation establishments by category. Time granularity: Year. Territory types: State, Region, District"
"WVSPSAT1";"Employed by status in employment. Time granularity: Year. Territory types: State, Region"
"WVSPSAT2";"Employed by classification of occupations. Time granularity: Year. Territory types: Region, State"
"WVSPSAT3";"Employed by CZ-NACE sector. Time granularity: Year. Territory types: Region, State"
"WVSPSBT1";"Specific unemployment rates in the CR by highest educational attainment. Time granularity: Year. Territory types: State"
"WVSPSCT1";"Unemployed in the CR by age groups. Time granularity: Year. Territory types: State, Region"
"UNP1AT1";"Monthly labour costs by CZ-NACE section. Time granularity: Year. Territory types: State"
"UNP1AT2";"Monthly labour costs by Region. Time granularity: Year. Territory types: State, Region"
"UNP1AT3";"Monthly labour costs by size of reporting unit. Time granularity: Year. Territory types: State"
"UNP1AT4";"Monthly labour costs by CZ-NACE section and size of reporting unit. Time granularity: Year. Territory types: State"
"WSTAV501T1";"Construction work ""S"" in the Czech Republic by place of construction. Time granularity: Year. Territory types: State, Region"
"CRU06T1";"Number of trips, overnight stays, and expenditures by type of trip, destination, and gender. Time granularity: Quarter. Territory types: State"
"CRU06T2";"Number of trips, overnight stays, and expenditures by type of trip, destination, and age. Time granularity: Quarter. Territory types: State"
"UNP1BT1";"Monthly labour costs by item of labour costs and CZ-NACE section. Time granularity: Year. Territory types: State"
"UNP1BT2";"Monthly labour costs by item of labour costs and Region. Time granularity: Year. Territory types: State, Region"
"UNP1BT3";"Monthly labour costs by item of labour costs and size of reporting unit. Time granularity: Year. Territory types: State"
"CRU04T1";"Occupancy in spa accommodation establishments - time series, yearly data. Time granularity: Year. Territory types: State, Region"
"CRU04T2";"Occupancy in spa accommodation establishments - territorial comparison, yearly data. Time granularity: Year. Territory types: State, Region"
"CRU04T3";"Occupancy in spa accommodation establishments by country - yearly data. Time granularity: Year. Territory types: State, Region"
"CRU04T4";"Occupancy in spa accommodation establishments by selected quarter. Time granularity: Quarter. Territory types: State, Region"
"CRU04T5";"Occupancy in spa accommodation establishments by country - quarterly data. Time granularity: Quarter. Territory types: State, Region"
"CRU05T1";"Number of trips and overnights by type of tourism. Time granularity: Year. Territory types: State"
"CRU02T1";"Occupancy in collective accommodation establishments by residence and category. Time granularity: Year. Territory types: State, Region, District"
"CRU03T1";"Conferences at collective accommodation establishemnts - yearly data. Time granularity: Year. Territory types: State, Region"
"CRU03T2";"Conferences at collective accommodation establishemnts by regions - yearly data. Time granularity: Year. Territory types: State, Region"
"CRU03T3";"Conferences at collective accommodation establishemnts - quarterly data. Time granularity: Quarter. Territory types: State, Region"
"CRU03T4";"Conferences at collective accommodation establishemnts by regions - quarterly data. Time granularity: Quarter. Territory types: State, Region"
"CEN0201AT01";"Industrial producer price indices by Main Industrial Groupings (MIGs) - yearly. Time granularity: Year. Territory types: State"
"CEN0201AT02";"Industrial producer price indices by Main Industrial Groupings (MIGs) - quarterly. Time granularity: Quarter. Territory types: State"
"CEN0201AT03";"Industrial producer price indices by Main Industrial Groupings (MIGs) - monthly. Time granularity: Month. Territory types: State"
"CEN0201AT04";"Industrial producer price indices by Main Industrial Groupings (MIGs) - monthly cumulation from the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"CEN0201BT01";"Industrial producer price indices - yearly. Time granularity: Year. Territory types: State"
"CEN0201BT02";"Industrial producer price indices - quarterly. Time granularity: Quarter. Territory types: State"
"CEN0201BT03";"Industrial producer price indices - monthly. Time granularity: Month. Territory types: State"
"CEN0201BT04A";"Industrial producer price indices - monthly cumulation from the beginning of the year. Time granularity: Cumulative Month. Territory types: State"
"CEN0201ET01";"Industrial Producer Price Index - breakdown of the growth. Time granularity: Month. Territory types: State"
"CEN01MT01";"Average price of heating oil in CR. Time granularity: Week. Territory types: State"
"CEN0201CT01";" Average industrial producer prices of the selected food products without VAT and other taxes and for all forms of delivery. Time granularity: Month. Territory types: State"
"STAV799BT1";"Average floor area per dwelling (m2). Time granularity: Year. Territory types: State, Region, District"
"RES04QT1";"Businesses by group of institutional sectors - data for CZ and regions. Time granularity: Quarter. Territory types: State, Region"
"RES04QT2";"Businesses by group of institutional sectors - data for CZ, regions and districts. Time granularity: Quarter. Territory types: State, Region, District"
"RES04QT3";"Businesses by group of institutional sectors - data for regions and MEP. Time granularity: Quarter. Territory types: Region, AD MEP"
"RES04QT4";"Businesses by group of institutional sectors - data for CZ and regions, territorial comparison. Time granularity: Quarter. Territory types: State, Region"
"RES04QT5";"Businesses by group of institutional sectors - data for CZ, regions and districts, territorial comparison. Time granularity: Quarter. Territory types: State, Region, District"
"RES04QT6";"Businesses by group of institutional sectors - data for regions and MEP, territorial comparison. Time granularity: Quarter. Territory types: Region, AD MEP"
"STAV799AT1";"Size of dwellings competed - dwellings total. Time granularity: Year. Territory types: State, Region, District"
"RES04RT1";"Businesses by group of institutional sectors - data for CZ and regions. Time granularity: Year. Territory types: State, Region"
"RES04RT2";"Businesses by group of institutional sectors - data for CZ, regions and districts. Time granularity: Year. Territory types: State, Region, District"
"RES04RT3";"Businesses by group of institutional sectors - data for regions and MEP. Time granularity: Year. Territory types: Region, AD MEP"
"RES04RT4";"Businesses by group of institutional sectors - data for CZ and regions, territorial comparison. Time granularity: Year. Territory types: State, Region"
"RES04RT5";"Businesses by group of institutional sectors - data for CZ, regions and districts, territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"RES04RT6";"Businesses by group of institutional sectors - data for regions and MEP, territorial comparison. Time granularity: Year. Territory types: Region, AD MEP"
"UNP2AT1";"Hourly labour costs by CZ-NACE section. Time granularity: Year. Territory types: State"
"UNP2AT4";"Hourly labour costs by Region. Time granularity: Year. Territory types: State, Region"
"UNP2AT2";"Hourly labour costs by size of reporting unit. Time granularity: Year. Territory types: State"
"UNP2T3";"Hourly labour costs by CZ-NACE section and size of reporting unit. Time granularity: Year. Territory types: State"
"UNP2BT1";"Hourly labour costs by item of labour costs and CZ-NACE section. Time granularity: Year. Territory types: State"
"UNP2BT2";"Hourly labour costs by item of labour costs and size of reporting unit. Time granularity: Year. Territory types: State"
"MZDMPKQT1";"Wages paid, incl. other personnel costs from a quarterly survey by CZ-NACE section. Time granularity: Cumulative Quarter. Territory types: State"
"MZDMPKQT2";"Wages paid, incl. other personnel costs from a quarterly survey by institutional sector. Time granularity: Cumulative Quarter. Territory types: State"
"MZDMPKQT3";"Wages paid, incl. other personnel costs from a quarterly survey by CZ-NUTS. Time granularity: Cumulative Quarter. Territory types: State, NUTS2, Region"
"VOLKRT1";"Basic Information on elections to regional councils. Time granularity: Year. Territory types: State, Region"
"VOLKRT2";"Basic Information on elections to regional councils by region. Time granularity: Year. Territory types: State, Region"
"CENPHMTT01";"Average consumer fuel prices in CR - weekly. Time granularity: Week. Territory types: State"
"CEN0101CT01";"Harmonized index of consumer prices (HICP) - yearly. Time granularity: Year. Territory types: State"
"CEN0101CT02";"Harmonized index of consumer prices (HICP) - monthly. Time granularity: Month. Territory types: State"
"CEN0101HT01";"Average annual inflation rate. Time granularity: Year. Territory types: State"
"CEN0101HT02";"Inflation rate - monthly. Time granularity: Month. Territory types: State"
"VZOORT1";"International trade in goods (change of ownership) - main indicators. Time granularity: Year. Territory types: State"
"VZOORT2";"International trade in goods (change of ownership) by particular countries . Time granularity: Year. Territory types: State"
"VZOORT4";"International trade in goods (change of ownership) by particular countries - time series. Time granularity: Year. Territory types: State"
"VZOORT3";"International trade in goods (change of ownership) by commodities . Time granularity: Year. Territory types: State"
"VZOORT5";"International trade in goods (change of ownership) by commodities - time series. Time granularity: Year. Territory types: State"
"OBY04BHVDCRT01";"Life Expectancy - CR and cohesion regions. Time granularity: Year"
"VZOOQT1";"International trade in goods (change of ownership) - main indicators. Time granularity: Quarter. Territory types: State"
"VZOOQT2";"International trade in goods (change of ownership) by particular countries . Time granularity: Quarter. Territory types: State"
"VZOOQT4";"International trade in goods (change of ownership) by particular countries - time series. Time granularity: Quarter. Territory types: State"
"VZOOQT3";"International trade in goods (change of ownership) by commodities . Time granularity: Quarter. Territory types: State"
"VZOOQT5";"International trade in goods (change of ownership) by commodities - time series. Time granularity: Quarter. Territory types: State"
"CEN0101LT01";"Consumer price indices for group Goods in total and group Services. Time granularity: Month. Territory types: State"
"CEN0101JT01";" Average consumer fuel prices - monthly. Time granularity: Month. Territory types: State"
"RES03QT1";"Businesses by size of business (number of employees)- data for CZ and regions. Time granularity: Quarter. Territory types: State, Region"
"RES03QT2";"Businesses by size of business (number of employees) - data for CZ, regions and districts. Time granularity: Quarter. Territory types: State, Region, District"
"RES03QT3";"Businesses by size of business (number of employees) - data for regions and MEP. Time granularity: Quarter. Territory types: Region, AD MEP"
"RES03QT4";"Businesses by size of business (number of employees) - data for CZ and regions, territorial comparison. Time granularity: Quarter. Territory types: State, Region"
"RES03QT5";"Businesses by size of business (number of employees) - data for CZ, regions and districts, territorial comparison. Time granularity: Quarter. Territory types: State, Region, District"
"RES03QT6";"Businesses by size of business (number of employees) - data for regions and MEP, territorial comparison. Time granularity: Quarter. Territory types: Region, AD MEP"
"RES03RT1";"Businesses by size of business (number of employees)- data for CZ and regions. Time granularity: Year. Territory types: State, Region"
"RES03RT2";"Businesses by size of business (number of employees) - data for CZ, regions and districts. Time granularity: Year. Territory types: State, Region, District"
"RES03RT3";"Businesses by size of business (number of employees) - data for regions and MEP. Time granularity: Year. Territory types: Region, AD MEP"
"RES03RT4";"Businesses by size of business (number of employees) - data for CZ and regions, territorial comparison. Time granularity: Year. Territory types: State, Region"
"RES03RT5";"Businesses by size of business (number of employees) - data for CZ, regions and districts, territorial comparison. Time granularity: Year. Territory types: State, Region, District"
"RES03RT6";"Businesses by size of business (number of employees) - data for regions and MEP, territorial comparison. Time granularity: Year. Territory types: Region, AD MEP"
"VZOOMT1";"International trade in goods (change of ownership) - main indicators. Time granularity: Month. Territory types: State"
"VZOOMT2";"International trade in goods (change of ownership) by particular countries . Time granularity: Month. Territory types: State"
"VZOOMT5";"International trade in goods (change of ownership) by particular countries - time series. Time granularity: Month. Territory types: State"
"VZOOMT3";"International trade in goods (change of ownership) by commodities . Time granularity: Month. Territory types: State"
"VZOOMT6";"International trade in goods (change of ownership) by commodities - time series. Time granularity: Month. Territory types: State"
"VZOOMT4";"International trade in goods (change of ownership) by commodities (SITC). Time granularity: Month. Territory types: State"
"WRESDPAT1";"Business demography. Time granularity: Year. Territory types: State"
"WRESDPAT3";"High-growing enterprises by employment . Time granularity: Year. Territory types: State"
"WRESDPBT2";"Survival of enterprises birth for a period of 5 years. Territory types: State"
"ICT02T01";"Information and media sector. Time granularity: Year. Territory types: State"
"ICT04T04";" Individuals using ICT and performing activities on the internet - by sex. Time granularity: Quarter. Territory types: State"
"ICT04T03";"Individuals using ICT and performing activities on the internet - by economic activity status. Time granularity: Quarter. Territory types: State"
"ICT04T02";"Individuals using ICT and performing activities on the internet - by education attainment level. Time granularity: Quarter. Territory types: State"
"ICT04T01";"Individuals using ICT and performing activities on the internet - by age group. Time granularity: Quarter. Territory types: State"
"VAV0301T01";"Research and development in Czechia by sector of performance and type of workplace. Time granularity: Year. Territory types: State, Region"
"VAV0301T02";"Research and development in Czechia by region of workplace. Time granularity: Year. Territory types: State, Region"
"ICT01T01";"ICT sector. Time granularity: Year. Territory types: State"
"RES02QT1";"Businesses by principal activity - data for CZ and regions. Time granularity: Quarter. Territory types: State, Region"
"RES02QT2";"Businesses by principal activity - data for CZ, regions and districts. Time granularity: Quarter. Territory types: State, Region, District"
"RES02QT3";"Businesses by principal activity - data for regions and MEP. Time granularity: Quarter. Territory types: Region, AD MEP"
"RES02QT4";"Businesses by principal activity - data for CZ and regions, territorial comparison. Time granularity: Quarter. Territory types: State, Region"
"RES02QT5";"Businesses by principal activity - data for CZ, regions and districts, territorial comparison. Time granularity: Quarter. Territory types: State, Region, District"
"RES02QT6";"Businesses by principal activity - data for regions and MEP, territorial comparison. Time granularity: Quarter. Territory types: Region, AD MEP"
