Kraje;Ukazatel;Šetření;Odvětví ekonomické činnosti;Roky;value
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2010;41.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2011;42.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2012;45.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2013;49.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2014;52.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2015;55.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2016;59.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2017;72.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2018;80.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2019;73.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2020;65.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2021;65.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;N - Administrativní a podpůrné činnosti;2022;68.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2010;80.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2011;72.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2012;69.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2013;74.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2014;74.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2015;75.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2016;74.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2017;73.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2018;74.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2019;73.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2020;72.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2021;73.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;"O - Veřejná správa a obrana; povinné sociální zabezpečení";2022;72.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2010;44.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2011;45.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2012;46.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2013;45.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2014;47.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2015;47.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2016;47.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2017;48.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2018;49.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2019;51.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2020;52.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2021;53.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;P - Vzdělávání;2022;55.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2010;43.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2011;43.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2012;44.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2013;45.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2014;47.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2015;47.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2016;49.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2017;50.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2018;52.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2019;52.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2020;53.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2021;58.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;Q - Zdravotní a sociální péče;2022;60.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2010;13.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2011;13.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2012;13.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2013;13.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2014;13.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2015;13.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2016;13.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2017;13.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2018;13.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2019;13.6
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2020;13.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2021;13.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;R - Kulturní, zábavní a rekreační činnosti;2022;13.5
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2010;13.3
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2011;12.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2012;11.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2013;12.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2014;12.2
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2015;12.1
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2016;11.7
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2017;12.4
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2018;12.8
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2019;13.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2020;13.0
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2021;10.9
Hlavní město Praha;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Pracovištní metoda;S - Ostatní činnosti;2022;11.2
