Ukazatel;Roky;ORP;Druh zařízení sociálních služeb;value
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Domovy pro seniory;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Ivančice (Jihomoravský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Sociální poradny;2.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Centra denních služeb;2.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Domovy pro osoby se zdravotním postižením;2.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Domovy se zvláštním režimem;4.0
Počet zařízení sociálních služeb;2023;Jablonec nad Nisou (Liberecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Jablunkov (Moravskoslezský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Domovy pro seniory;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Jaroměř (Královéhradecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Sociální poradny;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Terapeutické komunity;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Služby následné péče;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Stacionáře denní;2.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Domovy pro seniory;6.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Azylové domy;3.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Jeseník (Olomoucký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Sociální poradny;4.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Stacionáře denní;2.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Domovy pro seniory;5.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Jičín (Královéhradecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Sociální poradny;8.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Nízkoprahová zařízení pro děti a mládež;3.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Centra denních služeb;1.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Zařízení pro krizovou pomoc;1.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Centra sociálně rehabilitačních služeb;7.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Intervenční centra;1.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Služby následné péče;1.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Stacionáře denní;5.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Chráněné bydlení;3.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Jihlava (Kraj Vysočina);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Chráněné bydlení;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Jilemnice (Liberecký kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Sociální poradny;5.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Nízkoprahová zařízení pro děti a mládež;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Chráněné bydlení;2.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Domovy se zvláštním režimem;1.0
Počet zařízení sociálních služeb;2023;Jindřichův Hradec (Jihočeský kraj);Stacionáře týdenní;1.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Sociální poradny;4.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Nízkoprahová denní centra;2.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Nízkoprahová zařízení pro děti a mládež;4.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Domovy pro osoby se zdravotním postižením;5.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Domovy pro seniory;4.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Chráněné bydlení;3.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Noclehárny;2.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Kadaň (Ústecký kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Nízkoprahová zařízení pro děti a mládež;3.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Centra sociálně rehabilitačních služeb;1.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Domovy pro osoby se zdravotním postižením;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Domovy pro seniory;1.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Azylové domy;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Kaplice (Jihočeský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Sociální poradny;7.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Nízkoprahová zařízení pro děti a mládež;2.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Zařízení pro krizovou pomoc;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Centra sociálně rehabilitačních služeb;3.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Stacionáře denní;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Domovy pro osoby se zdravotním postižením;2.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Domy na půl cesty;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Domovy se zvláštním režimem;3.0
Počet zařízení sociálních služeb;2023;Karlovy Vary (Karlovarský kraj);Stacionáře týdenní;2.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Sociální poradny;5.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Služby rané péče;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Nízkoprahová denní centra;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Nízkoprahová zařízení pro děti a mládež;4.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Sociálně terapeutické dílny;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Centra denních služeb;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Služby následné péče;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Stacionáře denní;3.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Azylové domy;2.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Chráněné bydlení;2.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Noclehárny;1.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Karviná (Moravskoslezský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Sociální poradny;8.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Služby rané péče;1.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Sociálně terapeutické dílny;2.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Terapeutické komunity;1.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Zařízení pro krizovou pomoc;1.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Centra sociálně rehabilitačních služeb;2.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Intervenční centra;1.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Služby následné péče;1.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Stacionáře denní;4.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Domovy pro osoby se zdravotním postižením;2.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Domovy pro seniory;3.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Azylové domy;3.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Chráněné bydlení;3.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Domovy se zvláštním režimem;2.0
Počet zařízení sociálních služeb;2023;Kladno (Středočeský kraj);Stacionáře týdenní;1.0
