Kategorie;Ukazatel;Čtvrtletí;ČR, kraje;value
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Olomoucký kraj;183
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Zlínský kraj;144
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2020;Moravskoslezský kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Hlavní město Praha;106
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Středočeský kraj;35
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Jihočeský kraj;11
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Plzeňský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Karlovarský kraj;4
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Ústecký kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Liberecký kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Královéhradecký kraj;3
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Pardubický kraj;27
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Kraj Vysočina;47
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Jihomoravský kraj;110
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Olomoucký kraj;88
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Zlínský kraj;38
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2020;Moravskoslezský kraj;29
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Hlavní město Praha;727
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Středočeský kraj;176
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Jihočeský kraj;63
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Plzeňský kraj;69
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Karlovarský kraj;11
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Ústecký kraj;94
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Liberecký kraj;83
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Královéhradecký kraj;44
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Pardubický kraj;86
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Kraj Vysočina;164
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Jihomoravský kraj;414
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Olomoucký kraj;214
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Zlínský kraj;49
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2020;Moravskoslezský kraj;92
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Hlavní město Praha;1428
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Středočeský kraj;291
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Jihočeský kraj;158
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Plzeňský kraj;123
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Karlovarský kraj;36
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Ústecký kraj;134
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Liberecký kraj;152
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Královéhradecký kraj;99
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Pardubický kraj;142
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Kraj Vysočina;273
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Jihomoravský kraj;840
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Olomoucký kraj;282
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Zlínský kraj;86
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2019;Moravskoslezský kraj;226
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Hlavní město Praha;881
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Středočeský kraj;148
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Jihočeský kraj;95
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Plzeňský kraj;81
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Karlovarský kraj;22
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Ústecký kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Liberecký kraj;79
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Královéhradecký kraj;60
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Pardubický kraj;86
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Kraj Vysočina;232
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Jihomoravský kraj;452
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Olomoucký kraj;167
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Zlínský kraj;58
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2019;Moravskoslezský kraj;123
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Hlavní město Praha;1455
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Středočeský kraj;332
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Jihočeský kraj;129
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Plzeňský kraj;129
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Karlovarský kraj;42
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Ústecký kraj;107
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Liberecký kraj;109
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Královéhradecký kraj;95
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Pardubický kraj;187
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Kraj Vysočina;305
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Jihomoravský kraj;736
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Olomoucký kraj;232
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Zlínský kraj;117
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2019;Moravskoslezský kraj;215
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Hlavní město Praha;1904
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Středočeský kraj;238
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Jihočeský kraj;97
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Plzeňský kraj;129
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Karlovarský kraj;20
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Ústecký kraj;91
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Liberecký kraj;63
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Královéhradecký kraj;59
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Pardubický kraj;109
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Kraj Vysočina;173
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Jihomoravský kraj;425
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Olomoucký kraj;191
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Zlínský kraj;78
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2019;Moravskoslezský kraj;137
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Hlavní město Praha;1485
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Středočeský kraj;301
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Jihočeský kraj;136
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Plzeňský kraj;108
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Karlovarský kraj;32
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Ústecký kraj;93
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Liberecký kraj;48
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Královéhradecký kraj;108
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Pardubický kraj;128
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Kraj Vysočina;234
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Jihomoravský kraj;629
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Olomoucký kraj;227
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Zlínský kraj;132
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2018;Moravskoslezský kraj;193
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Hlavní město Praha;725
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Středočeský kraj;148
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Jihočeský kraj;64
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Plzeňský kraj;92
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Karlovarský kraj;10
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Ústecký kraj;72
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Liberecký kraj;53
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Královéhradecký kraj;52
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Pardubický kraj;78
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Kraj Vysočina;166
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Jihomoravský kraj;330
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Olomoucký kraj;105
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Zlínský kraj;62
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2018;Moravskoslezský kraj;75
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Hlavní město Praha;1254
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Středočeský kraj;353
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Jihočeský kraj;135
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Plzeňský kraj;117
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Karlovarský kraj;18
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Ústecký kraj;131
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Liberecký kraj;101
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Královéhradecký kraj;112
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Pardubický kraj;130
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Kraj Vysočina;300
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Jihomoravský kraj;558
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Olomoucký kraj;188
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Zlínský kraj;133
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2018;Moravskoslezský kraj;194
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Hlavní město Praha;1070
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Středočeský kraj;237
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Jihočeský kraj;92
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Plzeňský kraj;147
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Karlovarský kraj;11
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Ústecký kraj;117
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Liberecký kraj;98
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Královéhradecký kraj;80
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Pardubický kraj;111
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Kraj Vysočina;200
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Jihomoravský kraj;443
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Olomoucký kraj;195
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Zlínský kraj;98
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2018;Moravskoslezský kraj;158
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Hlavní město Praha;1440
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Středočeský kraj;290
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Jihočeský kraj;160
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Plzeňský kraj;139
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Karlovarský kraj;17
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Ústecký kraj;87
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Liberecký kraj;126
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Královéhradecký kraj;122
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Pardubický kraj;122
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Kraj Vysočina;225
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Jihomoravský kraj;639
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Olomoucký kraj;211
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Zlínský kraj;136
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2017;Moravskoslezský kraj;214
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Hlavní město Praha;714
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Středočeský kraj;149
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Jihočeský kraj;87
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Plzeňský kraj;83
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Karlovarský kraj;13
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Ústecký kraj;31
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Liberecký kraj;73
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Královéhradecký kraj;66
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Pardubický kraj;88
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Kraj Vysočina;213
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Jihomoravský kraj;351
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Olomoucký kraj;96
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Zlínský kraj;73
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2017;Moravskoslezský kraj;79
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Hlavní město Praha;1228
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Středočeský kraj;231
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Jihočeský kraj;168
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Plzeňský kraj;227
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Karlovarský kraj;28
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Ústecký kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Liberecký kraj;101
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Královéhradecký kraj;78
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Pardubický kraj;140
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Kraj Vysočina;256
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Jihomoravský kraj;665
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Olomoucký kraj;169
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Zlínský kraj;139
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2017;Moravskoslezský kraj;179
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Hlavní město Praha;1006
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Středočeský kraj;150
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Jihočeský kraj;105
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Plzeňský kraj;169
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Karlovarský kraj;16
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Ústecký kraj;79
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Liberecký kraj;69
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Královéhradecký kraj;63
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Pardubický kraj;101
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Kraj Vysočina;213
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Jihomoravský kraj;427
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Olomoucký kraj;163
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Zlínský kraj;112
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2017;Moravskoslezský kraj;148
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Hlavní město Praha;1407
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Středočeský kraj;234
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Jihočeský kraj;137
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Plzeňský kraj;154
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Karlovarský kraj;19
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Ústecký kraj;127
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Liberecký kraj;78
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Královéhradecký kraj;114
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Pardubický kraj;150
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Kraj Vysočina;319
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Jihomoravský kraj;584
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Olomoucký kraj;183
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Zlínský kraj;126
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2016;Moravskoslezský kraj;181
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Hlavní město Praha;655
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Středočeský kraj;153
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Jihočeský kraj;95
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Plzeňský kraj;78
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Karlovarský kraj;14
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Ústecký kraj;66
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Liberecký kraj;29
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Královéhradecký kraj;49
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Pardubický kraj;115
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Kraj Vysočina;222
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Jihomoravský kraj;315
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Olomoucký kraj;127
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Zlínský kraj;76
Hromadná ubytovací zařízení;Počet kongresů (konferencí);3. čtvrtletí 2016;Moravskoslezský kraj;101
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Hlavní město Praha;1373
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Středočeský kraj;188
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Jihočeský kraj;146
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Plzeňský kraj;94
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Karlovarský kraj;32
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Ústecký kraj;148
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Liberecký kraj;68
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Královéhradecký kraj;120
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Pardubický kraj;152
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Kraj Vysočina;354
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Jihomoravský kraj;617
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Olomoucký kraj;172
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Zlínský kraj;162
Hromadná ubytovací zařízení;Počet kongresů (konferencí);2. čtvrtletí 2016;Moravskoslezský kraj;170
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Hlavní město Praha;1002
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Středočeský kraj;168
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Jihočeský kraj;93
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Plzeňský kraj;63
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Karlovarský kraj;5
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Ústecký kraj;137
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Liberecký kraj;74
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Královéhradecký kraj;87
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Pardubický kraj;124
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Kraj Vysočina;207
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Jihomoravský kraj;460
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Olomoucký kraj;135
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Zlínský kraj;168
Hromadná ubytovací zařízení;Počet kongresů (konferencí);1. čtvrtletí 2016;Moravskoslezský kraj;162
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Hlavní město Praha;1465
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Středočeský kraj;196
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Jihočeský kraj;155
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Plzeňský kraj;162
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Karlovarský kraj;25
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Ústecký kraj;135
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Liberecký kraj;104
Hromadná ubytovací zařízení;Počet kongresů (konferencí);4. čtvrtletí 2015;Královéhradecký kraj;109
