Území,Roky,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Dovoz (meziroční index),102.607910291
Česko,2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Obrat zboží (meziroční index),104.9512591476
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",81840.013548
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",62557.521402
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Bilance (v mil. Kč),19282.492146
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),144397.53495
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Vývoz (meziroční index),106.2613681222
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Dovoz (meziroční index),102.207560088
Česko,2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),104.466319543
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",31583.602205
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",31306.110983
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Bilance (v mil. Kč),277.491222
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),62889.713188
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Vývoz (meziroční index),96.9696087456
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Dovoz (meziroční index),108.0866122893
Česko,2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),102.2023114807
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",107156.78855
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",95621.414976
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Bilance (v mil. Kč),11535.373574
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),202778.203526
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Vývoz (meziroční index),108.981367312
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Dovoz (meziroční index),106.7994189447
Česko,2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Obrat zboží (meziroční index),107.9414525759
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch","Vývoz (v mil. Kč, FOB)",48269.17938
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch","Dovoz (v mil. Kč, CIF)",19470.623101
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Bilance (v mil. Kč),28798.556279
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Obrat zboží (v mil. Kč),67739.802481
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Vývoz (meziroční index),93.047028087
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Dovoz (meziroční index),91.6937369237
Česko,2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Obrat zboží (meziroční index),92.6539746918
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,"Vývoz (v mil. Kč, FOB)",0.0
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,"Dovoz (v mil. Kč, CIF)",4.223586
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Bilance (v mil. Kč),-4.223586
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Obrat zboží (v mil. Kč),4.223586
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Vývoz (meziroční index),0.0
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Dovoz (meziroční index),251.6291966141
Česko,2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Obrat zboží (meziroční index),251.6291966141
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití","Vývoz (v mil. Kč, FOB)",46775.9876
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití","Dovoz (v mil. Kč, CIF)",16162.293242
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Bilance (v mil. Kč),30613.694358
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Obrat zboží (v mil. Kč),62938.280842
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Vývoz (meziroční index),119.0523937535
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Dovoz (meziroční index),119.605070294
Česko,2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Obrat zboží (meziroční index),119.1938308473
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,"Vývoz (v mil. Kč, FOB)",13626.230437
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,"Dovoz (v mil. Kč, CIF)",8398.180852
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Bilance (v mil. Kč),5228.049585
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Obrat zboží (v mil. Kč),22024.411289
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Vývoz (meziroční index),110.8164096904
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Dovoz (meziroční index),107.260446468
Česko,2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Obrat zboží (meziroční index),109.4330123745
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby","Vývoz (v mil. Kč, FOB)",6400.470286
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby","Dovoz (v mil. Kč, CIF)",2037.859833
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Bilance (v mil. Kč),4362.610453
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Obrat zboží (v mil. Kč),8438.330119
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Vývoz (meziroční index),84.0393861092
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Dovoz (meziroční index),91.0928736614
Česko,2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Obrat zboží (meziroční index),85.6408541993
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,"Vývoz (v mil. Kč, FOB)",3.329932
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,"Dovoz (v mil. Kč, CIF)",34.497187
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Bilance (v mil. Kč),-31.167255
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Obrat zboží (v mil. Kč),37.827119
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Vývoz (meziroční index),37.1293870716
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Dovoz (meziroční index),644.6151744695
Česko,2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Obrat zboží (meziroční index),264.1549735029
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby","Vývoz (v mil. Kč, FOB)",2.123892
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby","Dovoz (v mil. Kč, CIF)",16.417113
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Bilance (v mil. Kč),-14.293221
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Obrat zboží (v mil. Kč),18.541005
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Vývoz (meziroční index),154.1430220971
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Dovoz (meziroční index),107.185463722
Česko,2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Obrat zboží (meziroční index),111.0610977237
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby","Vývoz (v mil. Kč, FOB)",372.496955
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby","Dovoz (v mil. Kč, CIF)",329.425194
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Bilance (v mil. Kč),43.071761
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Obrat zboží (v mil. Kč),701.922149
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Vývoz (meziroční index),222.9863079301
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Dovoz (meziroční index),87.3537305171
Česko,2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Obrat zboží (meziroční index),128.9905422227
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení","Vývoz (v mil. Kč, FOB)",473.600823
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení","Dovoz (v mil. Kč, CIF)",695.371449
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Bilance (v mil. Kč),-221.770626
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Obrat zboží (v mil. Kč),1168.972272
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Vývoz (meziroční index),151.0459081744
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Dovoz (meziroční index),97.1042101033
Česko,2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Obrat zboží (meziroční index),113.5303653493
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,"Vývoz (v mil. Kč, FOB)",0.0
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,"Dovoz (v mil. Kč, CIF)",1.568299
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Bilance (v mil. Kč),-1.568299
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Obrat zboží (v mil. Kč),1.568299
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Vývoz (meziroční index),0.0
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Dovoz (meziroční index),103.5663484105
Česko,2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Obrat zboží (meziroční index),103.0487548459
