Území,Pohlaví,Měsíce,Ukazatel,value
Česko,Celkem,červenec 2018,Pracovní síla ekonomicky aktivní (tis. osob),5265.3534057662
Česko,Celkem,červenec 2018,Míra ekonomické aktivity (%),76.7188322214
Česko,Celkem,červen 2018,Obecná míra nezaměstnanosti (%),2.2970231797
Česko,Celkem,červen 2018,Zaměstnaní (tis. osob),5141.6265290075
Česko,Celkem,červen 2018,Pracovní síla ekonomicky aktivní (tis. osob),5262.5075471983
Česko,Celkem,červen 2018,Míra ekonomické aktivity (%),76.6948653611
Česko,Celkem,květen 2018,Obecná míra nezaměstnanosti (%),2.272022786
Česko,Celkem,květen 2018,Zaměstnaní (tis. osob),5140.8460726118
Česko,Celkem,květen 2018,Pracovní síla ekonomicky aktivní (tis. osob),5260.3627120584
Česko,Celkem,květen 2018,Míra ekonomické aktivity (%),76.6779282727
Česko,Celkem,duben 2018,Obecná míra nezaměstnanosti (%),2.2603710861
Česko,Celkem,duben 2018,Zaměstnaní (tis. osob),5153.4110013476
Česko,Celkem,duben 2018,Pracovní síla ekonomicky aktivní (tis. osob),5272.5911266618
Česko,Celkem,duben 2018,Míra ekonomické aktivity (%),76.6270108093
Česko,Celkem,březen 2018,Obecná míra nezaměstnanosti (%),2.2898125141
Česko,Celkem,březen 2018,Zaměstnaní (tis. osob),5143.1980964431
Česko,Celkem,březen 2018,Pracovní síla ekonomicky aktivní (tis. osob),5263.7275894956
Česko,Celkem,březen 2018,Míra ekonomické aktivity (%),76.5296184639
Česko,Celkem,únor 2018,Obecná míra nezaměstnanosti (%),2.3593962998
Česko,Celkem,únor 2018,Zaměstnaní (tis. osob),5124.949092363
Česko,Celkem,únor 2018,Pracovní síla ekonomicky aktivní (tis. osob),5248.7888216032
Česko,Celkem,únor 2018,Míra ekonomické aktivity (%),76.4167416043
Česko,Celkem,leden 2018,Obecná míra nezaměstnanosti (%),2.4272377105
Česko,Celkem,leden 2018,Zaměstnaní (tis. osob),5130.0068392218
Česko,Celkem,leden 2018,Pracovní síla ekonomicky aktivní (tis. osob),5257.6218186808
Česko,Celkem,leden 2018,Míra ekonomické aktivity (%),76.3222783459
Česko,Celkem,prosinec 2017,Obecná míra nezaměstnanosti (%),2.4832477142
Česko,Celkem,prosinec 2017,Zaměstnaní (tis. osob),5112.0939820826
Česko,Celkem,prosinec 2017,Pracovní síla ekonomicky aktivní (tis. osob),5242.2725965074
Česko,Celkem,prosinec 2017,Míra ekonomické aktivity (%),76.253885711
Česko,Celkem,listopad 2017,Obecná míra nezaměstnanosti (%),2.5492324211
Česko,Celkem,listopad 2017,Zaměstnaní (tis. osob),5104.7352324775
Česko,Celkem,listopad 2017,Pracovní síla ekonomicky aktivní (tis. osob),5238.270933419
Česko,Celkem,listopad 2017,Míra ekonomické aktivity (%),76.2230052231
Česko,Celkem,říjen 2017,Obecná míra nezaměstnanosti (%),2.6208131225
Česko,Celkem,říjen 2017,Zaměstnaní (tis. osob),5119.2409941517
Česko,Celkem,říjen 2017,Pracovní síla ekonomicky aktivní (tis. osob),5257.0176012979
Česko,Celkem,říjen 2017,Míra ekonomické aktivity (%),76.2270282533
Česko,Celkem,září 2017,Obecná míra nezaměstnanosti (%),2.6879566081
Česko,Celkem,září 2017,Zaměstnaní (tis. osob),5119.543754935
Česko,Celkem,září 2017,Pracovní síla ekonomicky aktivní (tis. osob),5260.9559685417
Česko,Celkem,září 2017,Míra ekonomické aktivity (%),76.2122913535
Česko,Celkem,srpen 2017,Obecná míra nezaměstnanosti (%),2.7548350559
Česko,Celkem,srpen 2017,Zaměstnaní (tis. osob),5100.614030182
Česko,Celkem,srpen 2017,Pracovní síla ekonomicky aktivní (tis. osob),5245.1081070344
Česko,Celkem,srpen 2017,Míra ekonomické aktivity (%),76.1347400418
Česko,Celkem,červenec 2017,Obecná míra nezaměstnanosti (%),2.8362682591
Česko,Celkem,červenec 2017,Zaměstnaní (tis. osob),5091.3065583179
Česko,Celkem,červenec 2017,Pracovní síla ekonomicky aktivní (tis. osob),5239.924884622
Česko,Celkem,červenec 2017,Míra ekonomické aktivity (%),76.0117708562
Česko,Celkem,červen 2017,Obecná míra nezaměstnanosti (%),2.9414506958
Česko,Celkem,červen 2017,Zaměstnaní (tis. osob),5085.3744238874
Česko,Celkem,červen 2017,Pracovní síla ekonomicky aktivní (tis. osob),5239.4914825595
Česko,Celkem,červen 2017,Míra ekonomické aktivity (%),75.914671684
Česko,Celkem,květen 2017,Obecná míra nezaměstnanosti (%),3.0689500192
Česko,Celkem,květen 2017,Zaměstnaní (tis. osob),5073.9971465634
Česko,Celkem,květen 2017,Pracovní síla ekonomicky aktivní (tis. osob),5234.6458101594
Česko,Celkem,květen 2017,Míra ekonomické aktivity (%),75.8896255506
Česko,Celkem,duben 2017,Obecná míra nezaměstnanosti (%),3.2016724019
Česko,Celkem,duben 2017,Zaměstnaní (tis. osob),5077.415742602
Česko,Celkem,duben 2017,Pracovní síla ekonomicky aktivní (tis. osob),5245.354820266
Česko,Celkem,duben 2017,Míra ekonomické aktivity (%),75.8826439649
Česko,Celkem,březen 2017,Obecná míra nezaměstnanosti (%),3.316743711
Česko,Celkem,březen 2017,Zaměstnaní (tis. osob),5076.4176578681
Česko,Celkem,březen 2017,Pracovní síla ekonomicky aktivní (tis. osob),5250.5654574683
Česko,Celkem,březen 2017,Míra ekonomické aktivity (%),75.8470502247
Česko,Celkem,únor 2017,Obecná míra nezaměstnanosti (%),3.4180177631
Česko,Celkem,únor 2017,Zaměstnaní (tis. osob),5061.9249410131
Česko,Celkem,únor 2017,Pracovní síla ekonomicky aktivní (tis. osob),5241.065490455
Česko,Celkem,únor 2017,Míra ekonomické aktivity (%),75.8014689492
Česko,Celkem,leden 2017,Obecná míra nezaměstnanosti (%),3.5247368593
Česko,Celkem,leden 2017,Zaměstnaní (tis. osob),5063.6651640101
Česko,Celkem,leden 2017,Pracovní síla ekonomicky aktivní (tis. osob),5248.6668594271
Česko,Celkem,leden 2017,Míra ekonomické aktivity (%),75.7584307533
Česko,Celkem,prosinec 2016,Obecná míra nezaměstnanosti (%),3.646502271
Česko,Celkem,prosinec 2016,Zaměstnaní (tis. osob),5060.456944722
Česko,Celkem,prosinec 2016,Pracovní síla ekonomicky aktivní (tis. osob),5251.9701557224
Česko,Celkem,prosinec 2016,Míra ekonomické aktivity (%),75.7041844314
Česko,Celkem,listopad 2016,Obecná míra nezaměstnanosti (%),3.7561758343
Česko,Celkem,listopad 2016,Zaměstnaní (tis. osob),5042.3008583294
Česko,Celkem,listopad 2016,Pracovní síla ekonomicky aktivní (tis. osob),5239.0903021995
Česko,Celkem,listopad 2016,Míra ekonomické aktivity (%),75.6021837162
Česko,Celkem,říjen 2016,Obecná míra nezaměstnanosti (%),3.8288797093
Česko,Celkem,říjen 2016,Zaměstnaní (tis. osob),5039.1139498974
Česko,Celkem,říjen 2016,Pracovní síla ekonomicky aktivní (tis. osob),5239.7371837457
Česko,Celkem,říjen 2016,Míra ekonomické aktivity (%),75.4480264405
Česko,Celkem,září 2016,Obecná míra nezaměstnanosti (%),3.8807107018
Česko,Celkem,září 2016,Zaměstnaní (tis. osob),5025.0871674093
Česko,Celkem,září 2016,Pracovní síla ekonomicky aktivní (tis. osob),5227.969540867
Česko,Celkem,září 2016,Míra ekonomické aktivity (%),75.2862507661
Česko,Celkem,srpen 2016,Obecná míra nezaměstnanosti (%),3.9502080903
Česko,Celkem,srpen 2016,Zaměstnaní (tis. osob),5007.9889731552
Česko,Celkem,srpen 2016,Pracovní síla ekonomicky aktivní (tis. osob),5213.9508827523
Česko,Celkem,srpen 2016,Míra ekonomické aktivity (%),75.1723226433
Česko,Celkem,červenec 2016,Obecná míra nezaměstnanosti (%),4.0460257752
Česko,Celkem,červenec 2016,Zaměstnaní (tis. osob),5016.4504019221
Česko,Celkem,červenec 2016,Pracovní síla ekonomicky aktivní (tis. osob),5227.975643999
Česko,Celkem,červenec 2016,Míra ekonomické aktivity (%),75.1176677148
Česko,Celkem,červen 2016,Obecná míra nezaměstnanosti (%),4.103682034
Česko,Celkem,červen 2016,Zaměstnaní (tis. osob),5018.4112073474
Česko,Celkem,červen 2016,Pracovní síla ekonomicky aktivní (tis. osob),5233.1636018901
Česko,Celkem,červen 2016,Míra ekonomické aktivity (%),75.0740430846
Česko,Celkem,květen 2016,Obecná míra nezaměstnanosti (%),4.1024688658
Česko,Celkem,květen 2016,Zaměstnaní (tis. osob),5002.0653409549
Česko,Celkem,květen 2016,Pracovní síla ekonomicky aktivní (tis. osob),5216.0522609836
Česko,Celkem,květen 2016,Míra ekonomické aktivity (%),75.006989027
Česko,Celkem,duben 2016,Obecná míra nezaměstnanosti (%),4.1080153073
Česko,Celkem,duben 2016,Zaměstnaní (tis. osob),5001.1582010226
Česko,Celkem,duben 2016,Pracovní síla ekonomicky aktivní (tis. osob),5215.4079582892
Česko,Celkem,duben 2016,Míra ekonomické aktivity (%),74.8960553464
Česko,Celkem,březen 2016,Obecná míra nezaměstnanosti (%),4.1753939064
Česko,Celkem,březen 2016,Zaměstnaní (tis. osob),5002.7125238502
Česko,Celkem,březen 2016,Pracovní síla ekonomicky aktivní (tis. osob),5220.6971964602
Česko,Celkem,březen 2016,Míra ekonomické aktivity (%),74.7413114459
Česko,Celkem,únor 2016,Obecná míra nezaměstnanosti (%),4.3027442085
Česko,Celkem,únor 2016,Zaměstnaní (tis. osob),4970.6941147317
Česko,Celkem,únor 2016,Pracovní síla ekonomicky aktivní (tis. osob),5194.1866813395
Česko,Celkem,únor 2016,Míra ekonomické aktivity (%),74.5560189517
Česko,Celkem,leden 2016,Obecná míra nezaměstnanosti (%),4.4511220319
Česko,Celkem,leden 2016,Zaměstnaní (tis. osob),4962.2136110463
Česko,Celkem,leden 2016,Pracovní síla ekonomicky aktivní (tis. osob),5193.377166294
Česko,Celkem,leden 2016,Míra ekonomické aktivity (%),74.369826246
Česko,Celkem,prosinec 2015,Obecná míra nezaměstnanosti (%),4.5872152981
Česko,Celkem,prosinec 2015,Zaměstnaní (tis. osob),4952.5868119165
Česko,Celkem,prosinec 2015,Pracovní síla ekonomicky aktivní (tis. osob),5190.6951750624
Česko,Celkem,prosinec 2015,Míra ekonomické aktivity (%),74.2308320764
Česko,Celkem,listopad 2015,Obecná míra nezaměstnanosti (%),4.6789204085
Česko,Celkem,listopad 2015,Zaměstnaní (tis. osob),4938.8097307243
Česko,Celkem,listopad 2015,Pracovní síla ekonomicky aktivní (tis. osob),5181.2356216358
Česko,Celkem,listopad 2015,Míra ekonomické aktivity (%),74.1437357064
Česko,Celkem,říjen 2015,Obecná míra nezaměstnanosti (%),4.7216395658
Česko,Celkem,říjen 2015,Zaměstnaní (tis. osob),4935.7097648943
Česko,Celkem,říjen 2015,Pracovní síla ekonomicky aktivní (tis. osob),5180.3051001323
Česko,Celkem,říjen 2015,Míra ekonomické aktivity (%),74.0961329504
Česko,Celkem,září 2015,Obecná míra nezaměstnanosti (%),4.7576927527
Česko,Celkem,září 2015,Zaměstnaní (tis. osob),4942.7164571649
Česko,Celkem,září 2015,Pracovní síla ekonomicky aktivní (tis. osob),5189.6227632669
Česko,Celkem,září 2015,Míra ekonomické aktivity (%),74.0923916794
Česko,Celkem,srpen 2015,Obecná míra nezaměstnanosti (%),4.8271004605
Česko,Celkem,srpen 2015,Zaměstnaní (tis. osob),4939.2047572559
Česko,Celkem,srpen 2015,Pracovní síla ekonomicky aktivní (tis. osob),5189.7176414257
Česko,Celkem,srpen 2015,Míra ekonomické aktivity (%),74.1322094475
Česko,Celkem,červenec 2015,Obecná míra nezaměstnanosti (%),4.9277267929
Česko,Celkem,červenec 2015,Zaměstnaní (tis. osob),4933.2171719602
Česko,Celkem,červenec 2015,Pracovní síla ekonomicky aktivní (tis. osob),5188.9126088441
Česko,Celkem,červenec 2015,Míra ekonomické aktivity (%),74.1901669032
Česko,Celkem,červen 2015,Obecná míra nezaměstnanosti (%),5.0432877465
Česko,Celkem,červen 2015,Zaměstnaní (tis. osob),4952.884778482
Česko,Celkem,červen 2015,Pracovní síla ekonomicky aktivní (tis. osob),5215.9396223218
Česko,Celkem,červen 2015,Míra ekonomické aktivity (%),74.2234667029
Česko,Celkem,květen 2015,Obecná míra nezaměstnanosti (%),5.1918095777
Česko,Celkem,květen 2015,Zaměstnaní (tis. osob),4945.9767903491
Česko,Celkem,květen 2015,Pracovní síla ekonomicky aktivní (tis. osob),5216.8243780592
Česko,Celkem,květen 2015,Míra ekonomické aktivity (%),74.2120835757
Česko,Celkem,duben 2015,Obecná míra nezaměstnanosti (%),5.3969226448
Česko,Celkem,duben 2015,Zaměstnaní (tis. osob),4920.2149747827
Česko,Celkem,duben 2015,Pracovní síla ekonomicky aktivní (tis. osob),5200.903725687
Česko,Celkem,duben 2015,Míra ekonomické aktivity (%),74.1743065711
Česko,Celkem,březen 2015,Obecná míra nezaměstnanosti (%),5.6352756917
Česko,Celkem,březen 2015,Zaměstnaní (tis. osob),4931.7318310005
Česko,Celkem,březen 2015,Pracovní síla ekonomicky aktivní (tis. osob),5226.2451537403
Česko,Celkem,březen 2015,Míra ekonomické aktivity (%),74.1278856811
Česko,Celkem,únor 2015,Obecná míra nezaměstnanosti (%),5.8336696965
Česko,Celkem,únor 2015,Zaměstnaní (tis. osob),4914.3229223431
Česko,Celkem,únor 2015,Pracovní síla ekonomicky aktivní (tis. osob),5218.7686474599
Česko,Celkem,únor 2015,Míra ekonomické aktivity (%),74.0795156299
Česko,Celkem,leden 2015,Obecná míra nezaměstnanosti (%),5.9776082846
Česko,Celkem,leden 2015,Zaměstnaní (tis. osob),4899.7864881252
Česko,Celkem,leden 2015,Pracovní síla ekonomicky aktivní (tis. osob),5211.2974353561
Česko,Celkem,leden 2015,Míra ekonomické aktivity (%),74.0446907456
Česko,Celkem,prosinec 2014,Obecná míra nezaměstnanosti (%),5.9543609489
Česko,Celkem,prosinec 2014,Zaměstnaní (tis. osob),4910.1861400594
Česko,Celkem,prosinec 2014,Pracovní síla ekonomicky aktivní (tis. osob),5221.0673345449
Česko,Celkem,prosinec 2014,Míra ekonomické aktivity (%),74.0158153396
Česko,Celkem,listopad 2014,Obecná míra nezaměstnanosti (%),5.9318513822
Česko,Celkem,listopad 2014,Zaměstnaní (tis. osob),4909.5076586152
Česko,Celkem,listopad 2014,Pracovní síla ekonomicky aktivní (tis. osob),5219.0967195111
Česko,Celkem,listopad 2014,Míra ekonomické aktivity (%),74.003416748
Česko,Celkem,říjen 2014,Obecná míra nezaměstnanosti (%),5.8942943127
Česko,Celkem,říjen 2014,Zaměstnaní (tis. osob),4904.5061641811
Česko,Celkem,říjen 2014,Pracovní síla ekonomicky aktivní (tis. osob),5211.6990445614
Česko,Celkem,říjen 2014,Míra ekonomické aktivity (%),73.9417156783
Česko,Celkem,září 2014,Obecná míra nezaměstnanosti (%),5.9070547166
Česko,Celkem,září 2014,Zaměstnaní (tis. osob),4905.8922870533
Česko,Celkem,září 2014,Pracovní síla ekonomicky aktivní (tis. osob),5213.8789707088
Česko,Celkem,září 2014,Míra ekonomické aktivity (%),73.8176057466
Česko,Celkem,srpen 2014,Obecná míra nezaměstnanosti (%),5.9722010572
Česko,Celkem,srpen 2014,Zaměstnaní (tis. osob),4895.1455847442
Česko,Celkem,srpen 2014,Pracovní síla ekonomicky aktivní (tis. osob),5206.0620792828
Česko,Celkem,srpen 2014,Míra ekonomické aktivity (%),73.6833191004
Česko,Celkem,červenec 2014,Obecná míra nezaměstnanosti (%),6.0473061829
Česko,Celkem,červenec 2014,Zaměstnaní (tis. osob),4880.760842081
Česko,Celkem,červenec 2014,Pracovní síla ekonomicky aktivní (tis. osob),5194.9131459535
Česko,Celkem,červenec 2014,Míra ekonomické aktivity (%),73.5746031991
Česko,Celkem,červen 2014,Obecná míra nezaměstnanosti (%),6.1452230045
Česko,Celkem,červen 2014,Zaměstnaní (tis. osob),4883.9989194884
Česko,Celkem,červen 2014,Pracovní síla ekonomicky aktivní (tis. osob),5203.7829888224
Česko,Celkem,červen 2014,Míra ekonomické aktivity (%),73.4889771616
Česko,Celkem,květen 2014,Obecná míra nezaměstnanosti (%),6.2780600544
Česko,Celkem,květen 2014,Zaměstnaní (tis. osob),4870.0646861638
Česko,Celkem,květen 2014,Pracovní síla ekonomicky aktivní (tis. osob),5196.2909527822
Česko,Celkem,květen 2014,Míra ekonomické aktivity (%),73.4215909718
Česko,Celkem,duben 2014,Obecná míra nezaměstnanosti (%),6.4382727685
Česko,Celkem,duben 2014,Zaměstnaní (tis. osob),4859.0801588676
Česko,Celkem,duben 2014,Pracovní síla ekonomicky aktivní (tis. osob),5193.4485421013
Česko,Celkem,duben 2014,Míra ekonomické aktivity (%),73.390755804
Česko,Celkem,březen 2014,Obecná míra nezaměstnanosti (%),6.5786594611
Česko,Celkem,březen 2014,Zaměstnaní (tis. osob),4866.5614024494
Česko,Celkem,březen 2014,Pracovní síla ekonomicky aktivní (tis. osob),5209.2609401392
Česko,Celkem,březen 2014,Míra ekonomické aktivity (%),73.363483524
Česko,Celkem,únor 2014,Obecná míra nezaměstnanosti (%),6.6668185574
Česko,Celkem,únor 2014,Zaměstnaní (tis. osob),4858.4147312152
Česko,Celkem,únor 2014,Pracovní síla ekonomicky aktivní (tis. osob),5205.4528262307
Česko,Celkem,únor 2014,Míra ekonomické aktivity (%),73.2914871567
Česko,Celkem,leden 2014,Obecná míra nezaměstnanosti (%),6.7387410257
Česko,Celkem,leden 2014,Zaměstnaní (tis. osob),4849.9833976616
Česko,Celkem,leden 2014,Pracovní síla ekonomicky aktivní (tis. osob),5200.4266841344
Česko,Celkem,leden 2014,Míra ekonomické aktivity (%),73.1895272371
Česko,Celkem,prosinec 2013,Obecná míra nezaměstnanosti (%),6.8167139122
Česko,Celkem,prosinec 2013,Zaměstnaní (tis. osob),4855.7726240593
Česko,Celkem,prosinec 2013,Pracovní síla ekonomicky aktivní (tis. osob),5210.9909705107
Česko,Celkem,prosinec 2013,Míra ekonomické aktivity (%),73.1102855925
Česko,Celkem,listopad 2013,Obecná míra nezaměstnanosti (%),6.879077546
Česko,Celkem,listopad 2013,Zaměstnaní (tis. osob),4850.3472111482
Česko,Celkem,listopad 2013,Pracovní síla ekonomicky aktivní (tis. osob),5208.6546001993
Česko,Celkem,listopad 2013,Míra ekonomické aktivity (%),73.0729500297
Česko,Celkem,říjen 2013,Obecná míra nezaměstnanosti (%),6.9204678021
Česko,Celkem,říjen 2013,Zaměstnaní (tis. osob),4843.8259626834
Česko,Celkem,říjen 2013,Pracovní síla ekonomicky aktivní (tis. osob),5203.9646615187
Česko,Celkem,říjen 2013,Míra ekonomické aktivity (%),73.0375167003
Česko,Celkem,září 2013,Obecná míra nezaměstnanosti (%),6.9542926334
Česko,Celkem,září 2013,Zaměstnaní (tis. osob),4856.8263061793
Česko,Celkem,září 2013,Pracovní síla ekonomicky aktivní (tis. osob),5219.8284516719
Česko,Celkem,září 2013,Míra ekonomické aktivity (%),72.9835309327
Česko,Celkem,srpen 2013,Obecná míra nezaměstnanosti (%),6.9610947346
Česko,Celkem,srpen 2013,Zaměstnaní (tis. osob),4852.5353473538
Česko,Celkem,srpen 2013,Pracovní síla ekonomicky aktivní (tis. osob),5215.598069984
Česko,Celkem,srpen 2013,Míra ekonomické aktivity (%),72.9434212333
Česko,Celkem,červenec 2013,Obecná míra nezaměstnanosti (%),6.9349304869
Česko,Celkem,červenec 2013,Zaměstnaní (tis. osob),4854.7535266832
Česko,Celkem,červenec 2013,Pracovní síla ekonomicky aktivní (tis. osob),5216.5152318488
Česko,Celkem,červenec 2013,Míra ekonomické aktivity (%),72.939257285
Česko,Celkem,červen 2013,Obecná míra nezaměstnanosti (%),6.9387013877
Česko,Celkem,červen 2013,Zaměstnaní (tis. osob),4867.1326164367
Česko,Celkem,červen 2013,Pracovní síla ekonomicky aktivní (tis. osob),5230.0286897038
Česko,Celkem,červen 2013,Míra ekonomické aktivity (%),72.9430886612
Česko,Celkem,květen 2013,Obecná míra nezaměstnanosti (%),7.0247563979
Česko,Celkem,květen 2013,Zaměstnaní (tis. osob),4854.9554122664
Česko,Celkem,květen 2013,Pracovní síla ekonomicky aktivní (tis. osob),5221.7721881377
Česko,Celkem,květen 2013,Míra ekonomické aktivity (%),72.908511412
Česko,Celkem,duben 2013,Obecná míra nezaměstnanosti (%),7.1613509024
Česko,Celkem,duben 2013,Zaměstnaní (tis. osob),4851.411263791
Česko,Celkem,duben 2013,Pracovní síla ekonomicky aktivní (tis. osob),5225.6375022117
Česko,Celkem,duben 2013,Míra ekonomické aktivity (%),72.7912644804
Česko,Celkem,březen 2013,Obecná míra nezaměstnanosti (%),7.2774463659
Česko,Celkem,březen 2013,Zaměstnaní (tis. osob),4842.156344642
Česko,Celkem,březen 2013,Pracovní síla ekonomicky aktivní (tis. osob),5222.1990819525
Česko,Celkem,březen 2013,Míra ekonomické aktivity (%),72.6160580298
Česko,Celkem,únor 2013,Obecná míra nezaměstnanosti (%),7.309860875
Česko,Celkem,únor 2013,Zaměstnaní (tis. osob),4828.7923398708
Česko,Celkem,únor 2013,Pracovní síla ekonomicky aktivní (tis. osob),5209.6073923855
Česko,Celkem,únor 2013,Míra ekonomické aktivity (%),72.4493658879
Česko,Celkem,leden 2013,Obecná míra nezaměstnanosti (%),7.2799304644
Česko,Celkem,leden 2013,Zaměstnaní (tis. osob),4821.4339412611
Česko,Celkem,leden 2013,Pracovní síla ekonomicky aktivní (tis. osob),5199.9895658091
Česko,Celkem,leden 2013,Míra ekonomické aktivity (%),72.3102934763
