ČR a kraje,Ukazatel,Pohlaví,Klasifikace zaměstnání (CZISCO),Roky,value
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2024,656.82362656
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2023,655.5957866
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2022,688.38474545
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2021,693.0557515
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2020,703.5471858
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2019,728.402194575
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2018,726.97838855
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2017,715.7455442
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2016,701.556563075
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2015,684.232876995
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2014,652.156797402499
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2013,641.675238845
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2012,666.219746445
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2011,673.257896775
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2010,669.06967517915
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2009,680.152309241434
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2008,704.613754092624
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2007,709.355660820415
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2006,711.879155332211
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2005,684.653306746213
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2004,668.562619635468
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2003,666.614941866238
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2002,672.387260269116
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2001,663.816769794357
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",2000,657.989626817287
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1999,664.110321853779
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1998,676.841811478252
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1997,688.370727091586
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1996,703.033444983027
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1995,705.747049450955
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1994,720.076904886974
Česko,Zaměstnaní (tis. osob),Celkem,"Obsluha strojů a zařízení, montéři",1993,720.752820070273
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2024,271.17833389
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2023,270.62557848
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2022,288.136020175
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2021,293.840859125
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2020,316.68610275
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2019,323.36691975
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2018,287.09425335
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2017,276.72902065
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2016,284.31638145
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2015,280.5361488075
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2014,270.1285435875
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2013,274.840022915
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2012,260.908327445
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2011,263.409991615
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2010,306.698211834825
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2009,267.15971496888
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2008,283.655393060622
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2007,280.977467955915
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2006,284.828164268945
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2005,280.695838735712
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2004,283.221857246092
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2003,293.303840372582
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2002,298.020628502871
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2001,301.009471038053
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,2000,315.745979501701
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1999,315.634642065867
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1998,332.826020177676
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1997,342.366549675095
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1996,362.460032557638
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1995,370.99078798724
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1994,372.400914957304
Česko,Zaměstnaní (tis. osob),Celkem,Pomocní a nekvalifikovaní pracovníci,1993,390.460790700821
