Území,Čtvrtletí,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Vývoz (meziroční index),118.7904872375
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Dovoz (meziroční index),116.3010168829
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"26 Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),117.4102723813
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",119844.549647
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",114231.010734
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Bilance (v mil. Kč),5613.538913
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),234075.560381
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Vývoz (meziroční index),108.2809723771
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Dovoz (meziroční index),105.5497016022
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"27 Elektrická zařízení, vč. subdodavatelských prací",Obrat zboží (meziroční index),106.9306486562
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",126135.163997
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",97514.471855
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Bilance (v mil. Kč),28620.692142
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),223649.635852
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Vývoz (meziroční index),98.0470758808
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Dovoz (meziroční index),98.7361531903
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Obrat zboží (meziroční index),98.3463373574
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",327852.697245
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",169045.823288
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Bilance (v mil. Kč),158806.873957
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),496898.520533
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Vývoz (meziroční index),100.6200409147
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Dovoz (meziroční index),99.28211986
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Obrat zboží (meziroční index),100.1608490501
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",22357.333934
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",14408.712452
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Bilance (v mil. Kč),7948.621482
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),36766.046386
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Vývoz (meziroční index),110.58104205
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Dovoz (meziroční index),99.9522975164
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),106.1570310814
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",8315.735053
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",8140.435265
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Bilance (v mil. Kč),175.299788
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),16456.170318
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Vývoz (meziroční index),105.8936817186
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Dovoz (meziroční index),107.1801563351
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),106.526183945
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",28737.0123
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",27406.542099
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Bilance (v mil. Kč),1330.470201
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),56143.554399
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Vývoz (meziroční index),109.8867317196
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Dovoz (meziroční index),111.2238599398
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Obrat zboží (meziroční index),110.5354122558
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch","Vývoz (v mil. Kč, FOB)",19464.252913
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch","Dovoz (v mil. Kč, CIF)",8754.952898
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Bilance (v mil. Kč),10709.300015
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Obrat zboží (v mil. Kč),28219.205811
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Vývoz (meziroční index),152.6235537743
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Dovoz (meziroční index),164.8649263045
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Obrat zboží (meziroční index),156.2223226786
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,"Vývoz (v mil. Kč, FOB)",0.0
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,"Dovoz (v mil. Kč, CIF)",4.008425
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Bilance (v mil. Kč),-4.008425
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Obrat zboží (v mil. Kč),4.008425
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Vývoz (meziroční index),0.0
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Dovoz (meziroční index),580.7956404375
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Obrat zboží (meziroční index),580.7956404375
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití","Vývoz (v mil. Kč, FOB)",10813.216204
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití","Dovoz (v mil. Kč, CIF)",4040.399821
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Bilance (v mil. Kč),6772.816383
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Obrat zboží (v mil. Kč),14853.616025
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Vývoz (meziroční index),107.314592982
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Dovoz (meziroční index),119.8654729066
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Obrat zboží (meziroční index),110.4607486269
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,"Vývoz (v mil. Kč, FOB)",3798.838527
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,"Dovoz (v mil. Kč, CIF)",2274.063587
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Bilance (v mil. Kč),1524.77494
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Obrat zboží (v mil. Kč),6072.902114
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Vývoz (meziroční index),105.2860914218
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Dovoz (meziroční index),112.2404649776
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Obrat zboží (meziroční index),107.7869024314
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby","Vývoz (v mil. Kč, FOB)",1792.998029
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby","Dovoz (v mil. Kč, CIF)",643.286077
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Bilance (v mil. Kč),1149.711952
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Obrat zboží (v mil. Kč),2436.284106
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Vývoz (meziroční index),87.4918557277
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Dovoz (meziroční index),92.7455567306
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Obrat zboží (meziroční index),88.820353894
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,"Vývoz (v mil. Kč, FOB)",0.54794
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,"Dovoz (v mil. Kč, CIF)",31.387173
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Bilance (v mil. Kč),-30.839233
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Obrat zboží (v mil. Kč),31.935113
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Vývoz (meziroční index),9.7350583803
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Dovoz (meziroční index),1668.3227195631
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Obrat zboží (meziroční index),425.2410956015
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby","Vývoz (v mil. Kč, FOB)",1.029218
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby","Dovoz (v mil. Kč, CIF)",3.247833
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Bilance (v mil. Kč),-2.218615
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Obrat zboží (v mil. Kč),4.277051
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Vývoz (meziroční index),294.6819597783
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Dovoz (meziroční index),151.7786777379
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Obrat zboží (meziroční index),171.8303957395
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby","Vývoz (v mil. Kč, FOB)",270.309828
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby","Dovoz (v mil. Kč, CIF)",155.551852
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Bilance (v mil. Kč),114.757976
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Obrat zboží (v mil. Kč),425.86168
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Vývoz (meziroční index),491.1157305844
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Dovoz (meziroční index),147.4175938828
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Obrat zboží (meziroční index),265.2388957124
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení","Vývoz (v mil. Kč, FOB)",43.491248
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení","Dovoz (v mil. Kč, CIF)",153.724256
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Bilance (v mil. Kč),-110.233008
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Obrat zboží (v mil. Kč),197.215504
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Vývoz (meziroční index),79.0293906576
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Dovoz (meziroční index),116.7026170923
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Obrat zboží (meziroční index),105.6013056521
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,"Vývoz (v mil. Kč, FOB)",0.0
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,"Dovoz (v mil. Kč, CIF)",0.254891
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Bilance (v mil. Kč),-0.254891
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Obrat zboží (v mil. Kč),0.254891
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Vývoz (meziroční index),0.0
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Dovoz (meziroční index),130.9880724186
Česko,4. čtvrtletí 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Obrat zboží (meziroční index),130.9880724186
