Kraje, SO ORP;Ukazatel;Počet zaměstnanců;Čtvrtletí;value
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;2. čtvrtletí 2021;8
Hlavní město Praha;Počet ekonomických subjektů celkem;2500 - 2999;1. čtvrtletí 2021;8
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;1. čtvrtletí 2025;11
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;4. čtvrtletí 2024;16
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;3. čtvrtletí 2024;13
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2. čtvrtletí 2024;11
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;1. čtvrtletí 2024;9
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;4. čtvrtletí 2023;10
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;3. čtvrtletí 2023;11
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2. čtvrtletí 2023;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;1. čtvrtletí 2023;11
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;4. čtvrtletí 2022;13
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;3. čtvrtletí 2022;13
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2. čtvrtletí 2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;1. čtvrtletí 2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;4. čtvrtletí 2021;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;3. čtvrtletí 2021;12
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;2. čtvrtletí 2021;11
Hlavní město Praha;Počet ekonomických subjektů celkem;3000 - 3999;1. čtvrtletí 2021;10
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;1. čtvrtletí 2025;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;4. čtvrtletí 2024;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;3. čtvrtletí 2024;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2. čtvrtletí 2024;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;1. čtvrtletí 2024;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;4. čtvrtletí 2023;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;3. čtvrtletí 2023;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2. čtvrtletí 2023;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;1. čtvrtletí 2023;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;4. čtvrtletí 2022;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;3. čtvrtletí 2022;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2. čtvrtletí 2022;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;1. čtvrtletí 2022;8
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;4. čtvrtletí 2021;6
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;3. čtvrtletí 2021;5
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;2. čtvrtletí 2021;7
Hlavní město Praha;Počet ekonomických subjektů celkem;4000 - 4999;1. čtvrtletí 2021;7
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;1. čtvrtletí 2025;15
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;4. čtvrtletí 2024;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;3. čtvrtletí 2024;15
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2. čtvrtletí 2024;13
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;1. čtvrtletí 2024;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;4. čtvrtletí 2023;16
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;3. čtvrtletí 2023;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2. čtvrtletí 2023;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;1. čtvrtletí 2023;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;4. čtvrtletí 2022;15
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;3. čtvrtletí 2022;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2. čtvrtletí 2022;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;1. čtvrtletí 2022;14
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;4. čtvrtletí 2021;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;3. čtvrtletí 2021;17
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;2. čtvrtletí 2021;16
Hlavní město Praha;Počet ekonomických subjektů celkem;5000 - 9999;1. čtvrtletí 2021;17
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;1. čtvrtletí 2025;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;4. čtvrtletí 2024;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;3. čtvrtletí 2024;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2. čtvrtletí 2024;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;1. čtvrtletí 2024;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;4. čtvrtletí 2023;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;3. čtvrtletí 2023;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2. čtvrtletí 2023;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;1. čtvrtletí 2023;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;4. čtvrtletí 2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;3. čtvrtletí 2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2. čtvrtletí 2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;1. čtvrtletí 2022;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;4. čtvrtletí 2021;14
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;3. čtvrtletí 2021;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;2. čtvrtletí 2021;12
Hlavní město Praha;Počet ekonomických subjektů celkem;10000 a více;1. čtvrtletí 2021;12
