Území,Měsíce,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",28624.753955
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Bilance (v mil. Kč),9108.897454
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),66358.405364
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Vývoz (meziroční index),106.8164684667
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Dovoz (meziroční index),94.3371675512
Česko,prosinec 2024,Běžné ceny,Bez očištění,"28 Stroje a zařízení j. n., vč. souvisejících služeb a prací",Obrat zboží (meziroční index),101.0502557089
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",83248.186108
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",44960.826417
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Bilance (v mil. Kč),38287.359691
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),128209.012525
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Vývoz (meziroční index),98.9997533759
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Dovoz (meziroční index),96.5820536977
Česko,prosinec 2024,Běžné ceny,Bez očištění,"29 Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",Obrat zboží (meziroční index),98.1382441545
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",6059.769634
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",4147.309033
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Bilance (v mil. Kč),1912.460601
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),10207.078667
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Vývoz (meziroční index),100.2376667367
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Dovoz (meziroční index),67.2981131521
Česko,prosinec 2024,Běžné ceny,Bez očištění,"30 Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),83.6097870304
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací","Vývoz (v mil. Kč, FOB)",2402.447872
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací","Dovoz (v mil. Kč, CIF)",2287.743647
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Bilance (v mil. Kč),114.704225
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Obrat zboží (v mil. Kč),4690.191519
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Vývoz (meziroční index),107.4433055003
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Dovoz (meziroční index),98.420371262
Česko,prosinec 2024,Běžné ceny,Bez očištění,"31 Nábytek, vč. souvisejících služeb a prací",Obrat zboží (meziroční index),102.8443418456
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací","Vývoz (v mil. Kč, FOB)",8163.13945
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací","Dovoz (v mil. Kč, CIF)",7827.656048
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Bilance (v mil. Kč),335.483402
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Obrat zboží (v mil. Kč),15990.795498
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Vývoz (meziroční index),115.8996813695
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Dovoz (meziroční index),114.1711844625
Česko,prosinec 2024,Běžné ceny,Bez očištění,"32 Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",Obrat zboží (meziroční index),115.047073492
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch","Vývoz (v mil. Kč, FOB)",8054.651647
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch","Dovoz (v mil. Kč, CIF)",3241.785415
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Bilance (v mil. Kč),4812.866232
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Obrat zboží (v mil. Kč),11296.437062
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Vývoz (meziroční index),222.0971342402
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Dovoz (meziroční index),181.687230595
Česko,prosinec 2024,Běžné ceny,Bez očištění,"35 Elektřina, plyn, pára a klimatizovaný vzduch",Obrat zboží (meziroční index),208.7718025626
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,"Vývoz (v mil. Kč, FOB)",0.0
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,"Dovoz (v mil. Kč, CIF)",3.146862
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Bilance (v mil. Kč),-3.146862
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Obrat zboží (v mil. Kč),3.146862
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Vývoz (meziroční index),0.0
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Dovoz (meziroční index),0.0
Česko,prosinec 2024,Běžné ceny,Bez očištění,37 Služby související s odpadními vodami,Obrat zboží (meziroční index),0.0
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití","Vývoz (v mil. Kč, FOB)",3202.84915
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití","Dovoz (v mil. Kč, CIF)",1114.395252
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Bilance (v mil. Kč),2088.453898
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Obrat zboží (v mil. Kč),4317.244402
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Vývoz (meziroční index),115.2754186959
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Dovoz (meziroční index),106.2967330012
Česko,prosinec 2024,Běžné ceny,Bez očištění,"38 Sběr, příprava k likvidaci a likvidace odpadu; zpracování odpadu k dalšímu využití",Obrat zboží (meziroční index),112.8156469512
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,"Vývoz (v mil. Kč, FOB)",1104.147276
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,"Dovoz (v mil. Kč, CIF)",634.721074
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Bilance (v mil. Kč),469.426202
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Obrat zboží (v mil. Kč),1738.86835
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Vývoz (meziroční index),108.7016959431
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Dovoz (meziroční index),114.2541819602
Česko,prosinec 2024,Běžné ceny,Bez očištění,58 Vydavatelské služby,Obrat zboží (meziroční index),110.6647897219
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby","Vývoz (v mil. Kč, FOB)",537.465703
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby","Dovoz (v mil. Kč, CIF)",236.863842
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Bilance (v mil. Kč),300.601861
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Obrat zboží (v mil. Kč),774.329545
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Vývoz (meziroční index),119.9045732939
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Dovoz (meziroční index),118.4620684118
Česko,prosinec 2024,Běžné ceny,Bez očištění,"59 Produkce filmů, videozáznamů a televizních pořadů, zvukových nahrávek a hudební vydavatelské služby",Obrat zboží (meziroční index),119.459602012
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,"Vývoz (v mil. Kč, FOB)",0.105265
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,"Dovoz (v mil. Kč, CIF)",0.513264
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Bilance (v mil. Kč),-0.407999
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Obrat zboží (v mil. Kč),0.618529
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Vývoz (meziroční index),2.0529910206
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Dovoz (meziroční index),45.1706360591
Česko,prosinec 2024,Běžné ceny,Bez očištění,71 Architektonické a inženýrské služby; technické zkoušky a analýzy,Obrat zboží (meziroční index),9.8748578111
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby","Vývoz (v mil. Kč, FOB)",0.004756
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby","Dovoz (v mil. Kč, CIF)",0.563215
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Bilance (v mil. Kč),-0.558459
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Obrat zboží (v mil. Kč),0.567971
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Vývoz (meziroční index),1.6703895703
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Dovoz (meziroční index),160.6624296122
Česko,prosinec 2024,Běžné ceny,Bez očištění,"Ostatní odborné, vědecké a technické služby",Obrat zboží (meziroční index),89.4045479016
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby","Vývoz (v mil. Kč, FOB)",193.661413
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby","Dovoz (v mil. Kč, CIF)",62.67064
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Bilance (v mil. Kč),130.990773
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Obrat zboží (v mil. Kč),256.332053
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Vývoz (meziroční index),2766.5264033062
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Dovoz (meziroční index),162.7519935812
Česko,prosinec 2024,Běžné ceny,Bez očištění,"90 Tvůrčí, umělecké a zábavní služby",Obrat zboží (meziroční index),563.2805032914
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení","Vývoz (v mil. Kč, FOB)",6.300572
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení","Dovoz (v mil. Kč, CIF)",31.076864
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Bilance (v mil. Kč),-24.776292
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Obrat zboží (v mil. Kč),37.377436
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Vývoz (meziroční index),65.5201814515
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Dovoz (meziroční index),71.7185713742
Česko,prosinec 2024,Běžné ceny,Bez očištění,"91 Služby knihoven, archivů, muzeí a jiných kulturních zařízení",Obrat zboží (meziroční index),70.592839597
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,"Vývoz (v mil. Kč, FOB)",0.0
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,"Dovoz (v mil. Kč, CIF)",0.149062
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Bilance (v mil. Kč),-0.149062
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Obrat zboží (v mil. Kč),0.149062
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Vývoz (meziroční index),0.0
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Dovoz (meziroční index),128.2960081249
Česko,prosinec 2024,Běžné ceny,Bez očištění,96 Ostatní osobní služby,Obrat zboží (meziroční index),128.2960081249
