Území;Ukazatel;Odvětví ekonomické činnosti;Roky;value
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2020;311.7
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2021;327.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);Q - Zdravotní a sociální péče;2022;334.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2010;49.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2011;49.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2012;50.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2013;49.3
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2014;49.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2015;50.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2016;50.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2017;51.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2018;52.0
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2019;51.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2020;50.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2021;49.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);R - Kulturní, zábavní a rekreační činnosti;2022;50.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2010;45.6
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2011;43.9
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2012;42.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2013;42.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2014;43.2
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2015;44.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2016;43.4
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2017;46.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2018;47.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2019;47.5
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2020;47.1
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2021;36.8
Česko;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);S - Ostatní činnosti;2022;37.6
