Ukazatel;ČR a kraje;Klasifikace zaměstnání (CZISCO);Roky;value
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2000;56.1031708622811
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2001;43.3203695263243
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2002;34.9540997313129
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2003;35.6713724957859
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2004;22.6697184508856
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2005;14.7688775338385
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2006;16.8025006038147
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2007;14.2461537005576
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2008;16.1063914508033
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2009;14.5475174311368
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2010;14.78065615335
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2011;15.4876488925
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2012;18.2870640125
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2013;16.6688385825
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2014;17.7402248175
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2015;14.37074487
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2016;14.41470745
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2017;16.599076275
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2018;15.2280063
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2019;16.7911416
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2020;25.24782055
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2021;16.114356775
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2022;16.0877869
Zaměstnaní (tis. osob);Česko;Zaměstnanci v ozbrojených silách;2023;17.231383393
